id_evento,id_veiculo,status,km_rodado,updated_at,versao_ingestao
1,VEIC001,parado,1500,2026-07-20 08:00:00,1
2,VEIC001,em_movimento,1503,2026-07-20 08:05:00,1
3,VEIC001,em_movimento,1510,2026-07-20 08:10:00,1
4,VEIC001,em_movimento,1510,2026-07-20 08:10:00,2
5,VEIC002,parado,900,2026-07-20 08:00:00,1
6,VEIC002,parado,900,2026-07-20 08:05:00,1
7,VEIC002,em_movimento,905,2026-07-20 08:05:00,2
8,VEIC003,em_movimento,3000,2026-07-20 08:00:00,1
9,VEIC003,parado,3002,2026-07-20 08:03:00,1
10,VEIC003,parado,3002,2026-07-20 08:03:00,1
